id,english_name,korean_name,chunil_name,code,category,usage_standard,purpose,usage_availability,documents
3412,PANGASIUS FISH (SUTCHI CATFISH),메콩강큰메기,,A3000041000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3413,PANGASIUS FISH (SUTCHI CATFISH) SKIN,메콩강큰메기껍질,,A3011911030000,식품원료,원료이기에 사용기준 없음,,사용가능,
3414,SUTCHI CATFISH GUT,메콩강큰메기내장,,A3000041060000,식품원료,원료이기에 사용기준 없음,,사용가능,
3415,PANGASIUS FISH (SUTCHI CATFISH) MAW,메콩강큰메기위,,A3011916220000,식품원료,원료이기에 사용기준 없음,,사용가능,
3416,SODIUM METASILICATE,메타규산나트륨,,B1000417000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",여과보조제,"기타, 별도 확인 필요",
3417,SODIUM METAPHOSPHATE,메타인산나트륨,"Sodium hexametaphosphate,Sodium tetrapolyphosphate",B1000054000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,산도조절제,"기타, 별도 확인 필요",
3418,POTASSIUM METAPHOSPHATE,메타인산칼륨,,B1000055000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,산도조절제,"기타, 별도 확인 필요",
3419,SODIUM METABISULFITE,메타중아황산나트륨,,B1000333000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",표백제,"기타, 별도 확인 필요",
3420,POTASSIUM METABISULFITE,메타중아황산칼륨,,B1000056000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",표백제,"기타, 별도 확인 필요",
3421,SODIUM METHOXIDE,메톡사이드나트륨,,B1000334000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",제조용제,"기타, 별도 확인 필요",
3422,METHYL BETA-NAPHTHYL KETONE,메틸 β-나프틸케톤,,B1000059000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
3423,METHYLMETHACRYLATE-ACRYLONITRILE-BUTADIENE-STYRENE COPOLYMER,메틸메타크릴레이트-아크릴로니트릴-부타디엔-스티렌 공중합체,,D1000030000000,기구 및 용기포장,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
3424,METHYL CELLULOSE,메틸셀룰로스,E461,B1003592000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,증점제,"기타, 별도 확인 필요",
3425,,메틸알콜,,B1000431000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",추출용제,"기타, 별도 확인 필요",
3426,METHYLETHYLCELLULOSE,메틸에틸셀룰로스,,B1003597000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,증점제,"기타, 별도 확인 필요",
3427,"(6S)-5-Methyltetrahydrofolic acid, Glucosamine Salt",메틸테트라히드로엽산글루코사민,,B1003642000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",영양강화제,"기타, 별도 확인 필요",
3428,METAFOLIN,메틸테트라히드로엽산칼슘,,B9000004000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
3429,CHIA(MEXICAN CHIA) SEED,멕시칸치아씨앗,,A1000838320000,식품원료,원료이기에 사용기준 없음,,사용가능,
3430,MEXICAN CHIA SEED POWDER,멕시칸치아씨앗분말,,A1054190320001,식품원료,원료이기에 사용기준 없음,,사용가능,
3431,MELAMINE-FORMALDEHYDE RESIN,멜라민수지,,D1000008000000,기구 및 용기포장,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
3432,MELATONIN,멜라토닌(외화획득용 원료),,BZ000005000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
3433,,멜라토닌분말,,A6000142000001,식품원료,원료이기에 사용기준 없음,,사용불가,
3434,MELON,멜론,,A1000840000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3435,MELON PULP,멜론과육,,A1000840300000,식품원료,원료이기에 사용기준 없음,,사용가능,
3436,,멜론과즙,,A1000840000026,식품원료,원료이기에 사용기준 없음,,사용가능,
3437,,멜론농축과즙액,,A1000840000826,식품원료,원료이기에 사용기준 없음,,사용가능,
3438,,멜론농축분말,,A1000840000801,식품원료,원료이기에 사용기준 없음,,사용가능,
3439,,멜론농축액,,A1000840000814,식품원료,원료이기에 사용기준 없음,,사용가능,
3440,CONCENTRATED MELON JUICE,멜론농축주스,,A1000840000825,식품원료,원료이기에 사용기준 없음,,사용가능,
3441,,멜론분말,,A1000840000001,식품원료,원료이기에 사용기준 없음,,사용가능,
3442,,멜론시럽,,A1000840000013,식품원료,원료이기에 사용기준 없음,,사용가능,
3443,MELON SEED,멜론씨앗,,A1000840320000,식품원료,원료이기에 사용기준 없음,,사용가능,
3444,MELON OIL,멜론오일,,A1000840000020,식품원료,원료이기에 사용기준 없음,,사용가능,
3445,MELON JUICE,멜론주스,,A1000840000025,식품원료,원료이기에 사용기준 없음,,사용가능,
3446,Melon distillate,멜론증류액,,A1000840006914,식품원료,원료이기에 사용기준 없음,,사용가능,
3447,MELON EXTRACT,멜론추출물,,A1000840004500,식품원료,원료이기에 사용기준 없음,,사용가능,
3448,,멜론추출물분말,,A1000840004501,식품원료,원료이기에 사용기준 없음,,사용가능,
3449,MELON PASTE,멜론페이스트,,A1000840000033,식품원료,원료이기에 사용기준 없음,,사용가능,
3450,MELON PUREE,멜론퓌레,,A1000840000034,식품원료,원료이기에 사용기준 없음,,사용가능,
3451,MELINDJO,멜린조꽃,,A1000841140000,식품원료,원료이기에 사용기준 없음,,사용가능,
3452,MELINDJO SEED,멜린조씨앗,,A1000841320000,식품원료,원료이기에 사용기준 없음,,사용가능,
3453,PADDY RICE,멥쌀,,A1002156000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3454,,멥쌀가루,,A1002156000001,식품원료,원료이기에 사용기준 없음,,사용가능,
3455,NONGLUTINOUS RICE STARCH,멥쌀전분,,A1002156000038,식품원료,원료이기에 사용기준 없음,,사용가능,
3456,,멥쌀튀밥,,A1002156003600,식품원료,원료이기에 사용기준 없음,,사용가능,
3457,OVINE THYMUS,면양흉선,,A2000012420000,식품원료,원료이기에 사용기준 없음,,사용가능,
3458,ANCHOVY,멸치,,A3000315000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3459,HYDROLYZED ANCHOVY PROTEIN,멸치가수분해단백질,,A3000315000208,식품원료,원료이기에 사용기준 없음,,사용가능,
3460,,멸치농축액,,A3000315000814,식품원료,원료이기에 사용기준 없음,,사용가능,
3461,,멸치농축액분말,,A3000315000801,식품원료,원료이기에 사용기준 없음,,사용가능,
3462,ROASTED ANCHOVY,멸치볶음,,A3000315002200,식품원료,원료이기에 사용기준 없음,,사용가능,
3463,ANCHOVY POWDER,멸치분말,,A3000315000001,식품원료,원료이기에 사용기준 없음,,사용가능,
3464,ANCHOVY JUICE,멸치액,,A3000315000014,식품원료,원료이기에 사용기준 없음,,사용가능,
3465,,멸치어유,,A3000315010020,식품원료,원료이기에 사용기준 없음,,사용가능,
3466,,멸치엑기스,,A3000315000017,식품원료,원료이기에 사용기준 없음,,사용가능,
3467,ANCHOVY OIL,멸치오일,,A3000315000020,식품원료,원료이기에 사용기준 없음,,사용가능,
3468,,멸치육수,,A3000315000023,식품원료,원료이기에 사용기준 없음,,사용가능,
3469,ANCHOVY SALTED LIQUID,멸치젓,,A3000315012B03,식품원료,원료이기에 사용기준 없음,,사용가능,
3470,ANCHOVY EXTRACT,멸치추출물,,A3000315004500,식품원료,원료이기에 사용기준 없음,,사용가능,
3471,ANCHOVY EXTRACT POWDER,멸치추출물분말,,A3000315004501,식품원료,원료이기에 사용기준 없음,,사용가능,
3472,,멸치추출액,,A3000315004514,식품원료,원료이기에 사용기준 없음,,사용가능,
3473,ANCHOVY PASTE,멸치페이스트,,A3000315000033,식품원료,원료이기에 사용기준 없음,,사용가능,
3474,,명일엽,,A1000846000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3475,ANGELICKA JUICE CONCENTRATE,명일엽농축물,,A1000846000800,식품원료,원료이기에 사용기준 없음,,사용가능,
3476,,명일엽분말,,A1000846000001,식품원료,원료이기에 사용기준 없음,,사용가능,
3477,,명일엽잎,,A1000846380000,식품원료,원료이기에 사용기준 없음,,사용가능,
3478,,명일엽추출,,A1000846004500,식품원료,원료이기에 사용기준 없음,,사용가능,
3479,,명일엽추출분말,,A1000846004501,식품원료,원료이기에 사용기준 없음,,사용가능,
3480,"POLLACK, WALLEYE POLLACK",명태,,A3000316000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3481,POLLACK LIVER,명태간,,A3000316200000,식품원료,원료이기에 사용기준 없음,,사용가능,
3482,,명태내장,,A3000316060000,식품원료,원료이기에 사용기준 없음,,사용가능,
3483,,명태뼈,,A3000316070000,식품원료,원료이기에 사용기준 없음,,사용가능,
3484,MINCED POLLACK,명태살,,A3000316080000,식품원료,원료이기에 사용기준 없음,,사용가능,
3485,,명태알,,A3000316050000,식품원료,원료이기에 사용기준 없음,,사용가능,
3486,,명태알분말,,A3000316050001,식품원료,원료이기에 사용기준 없음,,사용가능,
3487,,명태엑기스,,A3000316000017,식품원료,원료이기에 사용기준 없음,,사용가능,
3488,,명태채,,A3000316000029,식품원료,원료이기에 사용기준 없음,,사용가능,
3489,,명태추출물,,A3000316004500,식품원료,원료이기에 사용기준 없음,,사용가능,
3490,,명태페이스트,,A3000316000033,식품원료,원료이기에 사용기준 없음,,사용가능,
3491,CHINESE QUINCE,모과,,A1000847000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3492,,모과나무열매,,A1000848230000,식품원료,원료이기에 사용기준 없음,,사용가능,
3493,,모과농축액,,A1000847000814,식품원료,원료이기에 사용기준 없음,,사용가능,
3494,,모과열매,,A1000847230000,식품원료,원료이기에 사용기준 없음,,사용가능,
3495,CHINESE QUINCE PURRE,모과열매퓨레,,A1000847230034,식품원료,원료이기에 사용기준 없음,,사용가능,
3496,CHINESE QUINCE JUICE,모과주스,,A1000847000025,식품원료,원료이기에 사용기준 없음,,사용가능,
3497,CHINESE QUINCE EXTRACT,모과추출물,,A1000847004500,식품원료,원료이기에 사용기준 없음,,사용가능,
3498,,모과추출물분말,,A1000847004501,식품원료,원료이기에 사용기준 없음,,사용가능,
3499,CHINESE QUINCE PASTE,모과페이스트,,A1054055230033,식품원료,원료이기에 사용기준 없음,,사용가능,
3500,MONOMETHYLSILANETRIOL(Organic Silicon),모노메틸실란트리올(외화획득용 등),,BZ000108000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
3501,Paeonia suffruiticosa Andr.,모란꽃잎,,A1000849170000,식품원료,원료이기에 사용기준 없음,,사용가능,
3502,SANDBIRD OCTOPUS,모래주꾸미,,A3012026000000,식품원료,원료이기에 사용기준 없음,,사용가능,
