id,english_name,korean_name,chunil_name,code,category,usage_standard,purpose,usage_availability,documents
1,CHICKEN PROTEIN POWDER,닭고기단백분말,,A2000049070045,식품원료,원료이기에 사용기준 없음,,사용가능,
2,"1-OCTANESULFONIC ACIDS, SODIUM SALT",1-옥탄설폰산나트륨,,B3000056000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
3,"1-hydroxyethylidene-1,1-diphosphonic acid(HEDP)","1-하이드록시에틸리덴-1,1-디포스포닌산","1-hydroxyethylidene-1,1-diphosphonic acid(HEDP),1-diphosphonic acid",B3001161000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
4,2'-O-FUCOSYLLACOTSE,2'-O-푸코실락토오스,,B9000008000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
5,2'-FUCOSYLLACTOSE,2'-푸코실락토오스(외화획득용),,BZ000094000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
6,2-HEXEN-1-OL,2-Hexen-1-ol,,B1004625000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
7,3-Hydroxy-3-MethylButyric Acid(HMB) [개별인정형 신청을 위한 연구조사용에 한함],3-Hydroxy-3-MethylButyric Acid(HMB)(연구조사용),3-Hydroxy-3-MethylButyric Acid(HMB),BZ000015000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요 [개별인정형 신청을 위한 연구조사용에 한함]",,사용불가,
8,DISODIUM 5'-RIBONUCLEOTIDE,5'-리보뉴클레오티드이나트륨,"Disodium 5'-Ribonucleotides, DISODIUM 5’-RIBONUCLEOTIDE",B1000050000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,영양강화제,"기타, 별도 확인 필요",
9,5'-Inosinic acid,5'-이노신산,,B1062572000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,향미증진제,사용가능,
10,5-HYDROXY-L-TRYPTOPHAN,5'-히드록시트립토판,,BZ000052000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
11,DISODIUM 5'-GUANYLATE,5-구아닐산이나트륨,,B1000015000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,영양강화제,"기타, 별도 확인 필요",
12,5'-DEAMINASE,5-디아미나아제,,B2000209000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,효소제,"기타, 별도 확인 필요",
13,CALCIUM 5'-RIBONUCLEOTIDE,5-리보뉴클레오티드칼슘,,B1000051000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,영양강화제,"기타, 별도 확인 필요",
14,5′-CYTIDYLIC ACID,5-시티딜산,,B2000176000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",영양강화제,"기타, 별도 확인 필요",
15,DISODIUM 5'-CYTIDYLATE,5-시티딜산이나트륨,,B1000383000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",영양강화제,"기타, 별도 확인 필요",
16,5′-ADENYLIC ACID,5-아데닐산,,B2000175000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",영양강화제,"기타, 별도 확인 필요",
17,DISODIUM 5'-URIDYLATE,5-우리딜산이나트륨,,B1000384000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",영양강화제,"기타, 별도 확인 필요",
18,DISODIUM 5'-INOSINATE,5-이노신산이나트륨,,B1000182000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,영양강화제,"기타, 별도 확인 필요",
19,8-METHYL-6-NONENOIC ACID(외화획득용 등),8-METHYL-6-NONENOIC ACID(외화획득용 등),8-METHYL-6-NONENOIC ACID,BZ000107000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용가능,
20,8-METHYLNONANOIC ACID(외화획득용 등),8-METHYLNONANOIC ACID(외화획득용 등),8-METHYLNONANOIC ACID,BZ000106000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
21,ACHIRA STARCH,ACHIRA전분,,A1054149000038,식품원료,원료이기에 사용기준 없음,,사용가능,
22,ACHROMOPEPTIDASE,ACHROMOPEPTIDASE(외화획득용),,BZ000041000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
23,ALGINATE OLIGOSACCHARIDE(전량수출용),ALGINATE OLIGOSACCHARIDE(외화획득용),ALGINATE OLIGOSACCHARIDE,BZ000034000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
24,ALPHA LIPOIC ACID-외화획득용,ALPHA LIPOIC ACID(외화획득용),,BZ000010000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
25,ARTIFICIAL BITTER BLOCKER FLAVOR,ARTIFICIAL BITTER BLOCKER FLAVOR(외화획득용),,BZ000047000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
26,AZORUBINE,AZORUBINE(외화획득용),,BZ000042000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
27,ABIU,Abiu열매,,A1000001230000,식품원료,원료이기에 사용기준 없음,,사용가능,
28,ACETOBACTER ACETI,Acetobacter aceti,,A5000142000000,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
29,Acetobacter pasteurianus,Acetobacter pasteurianus,,A5000001000000,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
30,ACETOBACTER XYLINUM,Acetobacter xylinum,,A5000002000000,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
31,Achira(ROOT),Achira뿌리,Achira ROOT,A1003184610000,식품원료,원료이기에 사용기준 없음,,사용가능,
32,Adiporin,Adiporin(외화획득용 등),,AZ000058000000,식품원료,원료이기에 사용기준 없음,,사용불가,
33,Agathi,Agathi,,A1000002000000,식품원료,원료이기에 사용기준 없음,,사용가능,
34,,Agathi잎추출분말,,A1000002384501,식품원료,원료이기에 사용기준 없음,,사용가능,
35,AIRBREATHING CATFISH,Airbreathing catfish,,A3011938000000,식품원료,원료이기에 사용기준 없음,,사용가능,
36,Alexanders,Alexanders,,A1003235000000,식품원료,원료이기에 사용기준 없음,,사용가능,
37,Algarrobo blanco power(Argentine mesquite Powder),Algarrobo blanco열매분말,"Algarrobo blanco power,Argentine mesquite Powder",A1000004230001,식품원료,원료이기에 사용기준 없음,,사용가능,
38,ALLEGHENY BARBERRY,Allegheny barberry열매,,A1003238230000,식품원료,원료이기에 사용기준 없음,,사용가능,
39,ALOE GEL,Aloe gel(고시형),,C2000131000000,건강기능식품,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
40,AMBARELLA,Ambarella,,A1000006000000,식품원료,원료이기에 사용기준 없음,,사용가능,
41,,American hazelnut열매,,A1003274230000,식품원료,원료이기에 사용기준 없음,,사용가능,
42,,Andigena뿌리,,A1003283610000,식품원료,원료이기에 사용기준 없음,,사용가능,
43,,Antrodia cinnamomea 균사체 고체배양물 분말,,A9000033000000,식품원료,원료이기에 사용기준 없음,,사용불가,
44,,Argentineshortfin squid,,A3001179000000,식품원료,원료이기에 사용기준 없음,,사용가능,
45,ARTEMISIA INDICA,Artemisia indica잎,,A1000010380000,식품원료,원료이기에 사용기준 없음,,사용가능,
46,,Arthrobacter globiformis,,A5000004000000,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
47,ASAFETIDA,Asafoetida,,A1003162000000,식품원료,원료이기에 사용기준 없음,,사용가능,
48,ASAFOETIDA,Asafoetida잎,,A1003162380000,식품원료,원료이기에 사용기준 없음,,사용가능,
49,ASAFOETIDA LEAF EXTRACT,Asafoetida잎추출물,,A1003162384500,식품원료,원료이기에 사용기준 없음,,사용가능,
50,ASPERGILLUS AWAMORI,Aspergillus luchuensis,,A5001542000000,식품원료,원료이기에 사용기준 없음,,사용가능,
51,ASPERGILLUS NIGER,Aspergillus niger,,A5000007000000,식품원료,원료이기에 사용기준 없음,,사용가능,
52,,Aspergillus niger배양물,,A5000007007712,식품원료,원료이기에 사용기준 없음,,사용가능,
53,,Aspergillus oryzae,,A5000008000000,식품원료,원료이기에 사용기준 없음,,사용가능,
54,,Aspergillus oryzae발효,,A5000008001900,식품원료,원료이기에 사용기준 없음,,사용가능,
55,,Aspergillus oryzae발효분말,,A5000008001901,식품원료,원료이기에 사용기준 없음,,사용가능,
56,,Aspergillus oryzae분말,,A5000008000001,식품원료,원료이기에 사용기준 없음,,사용가능,
57,ASPERGILLUS USAMII,Aspergillus usamii,,A5000011000000,식품원료,원료이기에 사용기준 없음,,사용가능,
58,ATLANTIC CHUB MACKEREL,Atlantic chub mackerel,,A3012018000000,식품원료,원료이기에 사용기준 없음,,사용가능,
59,,BACILLUS NATTO배양물,,A5000018007700,식품원료,원료이기에 사용기준 없음,,사용가능,
60,,BACILLUS NATTO배양액,,A5000018007714,식품원료,원료이기에 사용기준 없음,,사용가능,
61,,BACILLUS NATTO추출물,,A5000018004500,식품원료,원료이기에 사용기준 없음,,사용가능,
62,,BLACK CARAWAY,,A1054198000000,식품원료,원료이기에 사용기준 없음,,사용가능,
63,BRILLIANT BLACK BN,BRILLIANT BLACK BN(외화획득용),,BZ000055000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
64,BUTTERFLY PEA FLOWER,BUTTERFLY PEA FLOWER(외화획득용),,AZ000024000000,식품원료,원료이기에 사용기준 없음,,사용불가,
65,Bacillus amyloliquefaciens,Bacillus amyloliquefaciens,,A5000013000000,식품원료,원료이기에 사용기준 없음,,사용가능,
66,LACTOBACILLUS SPOROGENES,Bacillus coagulans,,A5000016000000,식품원료,원료이기에 사용기준 없음,,사용가능,
67,Bacillus coagulans SNZ 1969 Probiotics,Bacillus coagulans SNZ 1969 프로바이오틱스(기능성원료인정제2023-34호),,C9001032000000,건강기능식품,"사용기준 못찾음, 별도 확인 필요",,사용가능,
68,BACILLUS COAGULANS UNIQUE IS-2 PROBIOTICS,Bacillus coagulans Unique IS-2 프로바이오틱스(기능성원료인정제2022-45호),,C9001021000000,건강기능식품,"사용기준 못찾음, 별도 확인 필요",,사용가능,
69,BACILLUS NATTO GUM,Bacillus natto,,A5000018000000,식품원료,원료이기에 사용기준 없음,,사용가능,
70,BACILLUS NATTO POWDER,Bacillus natto 분말,,A5000018000001,식품원료,원료이기에 사용기준 없음,,사용가능,
71,BACILLUS SUBTILIS,Bacillus subtilis,,A5000020000000,식품원료,원료이기에 사용기준 없음,,사용가능,
72,BACOPA MONNIERI EXTRACT(외화획득용),Bacopa monnieri(외화획득용),"Bacopa monnieri,BACOPA MONNIERI EXTRACT",AZ000005000000,식품원료,원료이기에 사용기준 없음,,사용불가,
73,BEAR'S GARLIC(ALLIUM URSINUM),Bears Garlic잎,"BEAR'S GARLIC,ALLIUM URSINUM",A1000017380000,식품원료,원료이기에 사용기준 없음,,사용가능,
74,Bifidobacterium adolescentis,Bifidobacterium adolescentis,,A5000021000000,식품원료,원료이기에 사용기준 없음,,사용가능,
75,BIFIDOBACTERIUM ANIMALIS,Bifidobacterium animalis,,A5000022000000,식품원료,원료이기에 사용기준 없음,,사용가능,
76,,Bifidobacterium animalis ssp lactis분말,,A5000022000001,식품원료,원료이기에 사용기준 없음,,사용가능,
77,BIFIDOBACTERIUM ANIMALIS SSP.LACTIS,Bifidobacterium animalis ssp. lactis(고시형),,C2000165000000,건강기능식품,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
78,BIFIDOBACTERIUM BIFIDUM,Bifidobacterium bifidum,,A5000023000000,식품원료,원료이기에 사용기준 없음,,사용가능,
79,BIFIDOBACTERIUM BREVE,Bifidobacterium breve,,A5000024000000,식품원료,원료이기에 사용기준 없음,,사용가능,
80,Bifidobacterium breve B-3 Probiotics,Bifidobacterium breve B-3 프로바이오틱스(기능성원료제2023-2호),,C9001028000000,건강기능식품,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
81,Bifidobacterium longum subsp. infantis,Bifidobacterium infantis,,A5000025000000,식품원료,원료이기에 사용기준 없음,,사용가능,
82,Bifidobacterium lactis,Bifidobacterium lactis,,A5000026000000,식품원료,원료이기에 사용기준 없음,,사용가능,
83,BIFIDOBACTERIUM LONGUM,Bifidobacterium longum,,A5000027000000,식품원료,원료이기에 사용기준 없음,,사용가능,
84,,Bifidobacterium longum분말,,A5000027000001,식품원료,원료이기에 사용기준 없음,,사용가능,
85,BIGHEAD CATFISH,Bighead catfish,,A3011953000000,식품원료,원료이기에 사용기준 없음,,사용가능,
86,,Birch잎,,A1000018380000,식품원료,원료이기에 사용기준 없음,,사용가능,
87,,Black caraway뿌리,,A1003347610000,식품원료,원료이기에 사용기준 없음,,사용가능,
88,BLACK GRAM,Black gram씨앗,,A1000023320000,식품원료,원료이기에 사용기준 없음,,사용가능,
89,BLACK GRAM SEED POWDER,Black gram씨앗분말,,A1054165320001,식품원료,원료이기에 사용기준 없음,,사용가능,
90,BLACK MUSTARD,Black mustard,,A1003353000000,식품원료,원료이기에 사용기준 없음,,사용가능,
91,BLACK MUSTARD SEED,Black mustard씨앗,,A1003353320000,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
92,BLACK MUSTARD SEED OIL,Black mustard씨앗유,,A1003353320020,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
93,BLUE TILAPIA,Blue tilapia,,A3012023000000,식품원료,원료이기에 사용기준 없음,,사용가능,
94,BOLDO,Boldo,,A1000029000000,식품원료,원료이기에 사용기준 없음,,사용가능,
95,BREAD FRUIT,Bread fruit열매,,A1000032230000,식품원료,원료이기에 사용기준 없음,,사용가능,
96,Brevibacterium linens,Brevibacterium linens,,A5000144000000,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
97,,Brittle bush줄기,,A1003380490000,식품원료,원료이기에 사용기준 없음,,사용가능,
98,CALCIUM ALPHA-KETOGLUTARATE,CALCIUM ALPHA KETO-GLUTARATE(외화획득용 등),,BZ000105000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
99,CALCIUM L-THREONATE(외화획득용),CALCIUM L-THREONATE(외화획득용),,BZ000012000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
100,CETYL MYRISTOLEATE POWDER-외화획득용,CETYL MYRISTOLEATE POWDER-외화획득용,,BZ000009000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
101,CETYL MYRISTOLEATE(연구·조사용에 한함),CETYL MYRISTOLEATE(연구조사용),,BZ000002000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
102,,CHROMIUM AMINO ACID CHELATE(외화획득용 등),,BZ000127000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
103,CROSCARMELLOSE SODIUM(외화획득용에 한함),CROSCARMELLOSE SODIUM(외화획득용에 한함),,BZ000003000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
104,CaHMB(Calcium β-Hydroxy-β-methylbutyrate),CaHMB(Calcium β-Hydroxy-β-methylbutyrate)(기능성원료인정제2023-26호),"CaHMB,Calcium β-Hydroxy-β-methylbutyrate",C9001046000000,건강기능식품,"사용기준 못찾음, 별도 확인 필요",,사용가능,
105,"Calcium 3-Hydroxy-3-MethylButyrate, Monodydrate(CaHMB) CAS NO.13526-72-5 [개별인정형 신청을 위한 연구조사용에 한함]","Calcium 3-Hydroxy-3-MethylButyrate, Monodydrate(CaHMB) CAS NO.13526-72-5(연구조사용)","Calcium 3-Hydroxy-3-MethylButyrate, Monodydrate(CaHMB) CAS NO.13526-72-5",BZ000011000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요  [개별인정형 신청을 위한 연구조사용에 한함]",,사용불가,
106,,Callorhinchus milii,,A3012007000000,식품원료,원료이기에 사용기준 없음,,사용가능,
107,Candida utilis,Candida utilis,,A5000031000000,식품원료,원료이기에 사용기준 없음,,사용가능,
108,CANDIDA UTILIS(TORULA YEAST) EXTRACT,Candida utilis추출물,,A5000031004500,식품원료,원료이기에 사용기준 없음,,사용가능,
109,,Cape barren tea잎,,A1003432380000,식품원료,원료이기에 사용기준 없음,,사용가능,
110,CARALLUMA FIMBRIATA,Caralluma fimbriata(외화획득용 등),,AZ000069000000,식품원료,원료이기에 사용기준 없음,,사용불가,
111,,Cassava잎,,A1003454380000,식품원료,원료이기에 사용기준 없음,,사용가능,
112,,Catla,,A3001036000000,식품원료,원료이기에 사용기준 없음,,사용가능,
113,,Ceylon cinnamon줄기껍질,,A1003476600000,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
114,CEYLON CINNAMON EXTRACT,Ceylon cinnamon줄기껍질추출물,,A1003476604500,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
115,CHAMELEA GALLINA EXTRACT,Chamelea gallina추출물,,A3012025004500,식품원료,원료이기에 사용기준 없음,,사용가능,
116,CHILEAN JACK MACKEREL,Chilean jack mackerel,,A3012019000000,식품원료,원료이기에 사용기준 없음,,사용가능,
117,CHILEAN SEA URCHIN PUREE,Chilean sea urchin퓨레,,A3011992000034,식품원료,원료이기에 사용기준 없음,,사용가능,
118,,Chinese cabbage잎,,A1003489380000,식품원료,원료이기에 사용기준 없음,,사용가능,
119,,Chinese chestnut열매,,A1003490230000,식품원료,원료이기에 사용기준 없음,,사용가능,
120,,Choy sum,,A1003074380000,식품원료,원료이기에 사용기준 없음,,사용가능,
121,CLOSTRIDIUM BUTYRICUM,Clostridium butyricum strain Miyairi,,A5000035000000,식품원료,원료이기에 사용기준 없음,,사용가능,
122,COMMERSON'S ANCHOVY,Commerson's anchovy,,A3011954000000,식품원료,원료이기에 사용기준 없음,,사용가능,
123,COMMON SPEEDWELL,Common speedwell잎,,A1000049380000,식품원료,원료이기에 사용기준 없음,,사용가능,
124,Corynebacterium ammoniagenes,Corynebacterium ammomiagenes,,A5000127000000,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
125,Corynebacterium glutamicum,Corynebacterium glutamicum,,A5000126000000,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
126,CRICKET BAT WILLOW SPROUT EXTRACT,Cricket bat willow순추출물,,A1003624884500,식품원료,원료이기에 사용기준 없음,,사용가능,
127,Crypthecodinium Cohnii Oil,Crypthecodinium cohnii 오일,,A6000140000020,식품원료,원료이기에 사용기준 없음,,사용가능,
128,CUPUACU,Cupuacu,,A1003087000000,식품원료,원료이기에 사용기준 없음,,사용가능,
129,CUPUACU JUICE CONCENTRATE,Cupuacu주스농축,,A1003087230825,식품원료,원료이기에 사용기준 없음,,사용가능,
130,CUPUACU PUREE,Cupuacu퓌레,,A1003087230034,식품원료,원료이기에 사용기준 없음,,사용가능,
131,CURLED MINT,Curled Mint잎,,A1000057380000,식품원료,원료이기에 사용기준 없음,,사용가능,
132,CURRY PLANT LEAF OIL,Curry plant잎오일,,A1005390380020,식품원료,원료이기에 사용기준 없음,,사용가능,
133,CURRY LEAF,Curry-Leaf Tree잎,,A1000058380000,식품원료,원료이기에 사용기준 없음,,사용가능,
134,CURRY EXTRACT,Curry-Leaf Tree잎추출물,,A1000058384500,식품원료,원료이기에 사용기준 없음,,사용가능,
135,커리잎추출분말,Curry-Leaf Tree잎추출분말,,A1000058384501,식품원료,원료이기에 사용기준 없음,,사용가능,
136,D-GAMMA-TOCOPHEROL CONCENTRATE(외확획득용에 한함),D-감마-토코페롤(외화획득용),,BZ000021000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
137,D-RIBOSE,D-리보오스,,B2000127000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,감미료,"기타, 별도 확인 필요",
138,D-MANNOSE,D-만노스,,A6001451000000,식품원료,원료이기에 사용기준 없음,,사용가능,
139,D-MALTITOL,D-말티톨,,B1000053000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,감미료,"기타, 별도 확인 필요",
140,D-SORBITOL,D-소비톨,"sorbitoL,Sorbit,E420(i)",B1003604000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,감미료,"기타, 별도 확인 필요",
141,D-SORBITOL SYRUP,D-소비톨액,sorbitol syrup,B1003584000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,감미료,"기타, 별도 확인 필요",
142,D-Allulose-3-epimerase,D-알룰로오스-3-에피머라제(한시적 인정 식품첨가물),,B9000007000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
143,D-XYLOSE,D-자일로오스,,B2000069000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,감미료,"기타, 별도 확인 필요",
144,,DHA(고시형),,C2000047000000,건강기능식품,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
145,,DHA분말(고시형),,C2000047000001,건강기능식품,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
146,,DHA오일(고시형),,C2000047000020,건강기능식품,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
147,DHEA(외화획득용),DHEA(외화획득용),,BZ000007000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
148,DL-METHIONINE,DL-메티오닌,,B1000057000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,영양강화제,"기타, 별도 확인 필요",
149,DL-MALIC ACID,DL-사과산,,B1000093000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,산도조절제,"기타, 별도 확인 필요",
150,,DL-알라닌,,B1000158000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,영양강화제,"기타, 별도 확인 필요",
151,DL-TARTARIC ACID,DL-주석산,,B1000220000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,산도조절제,"기타, 별도 확인 필요",
152,DISODIUM DL- TARTRATE,DL-주석산나트륨,,B1000222000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,산도조절제,"기타, 별도 확인 필요",
153,POTASSIUM DL-BITARTRATE,DL-주석산수소칼륨,E336(i),B1000224000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,산도조절제,"기타, 별도 확인 필요",
154,DL-THREONINE,DL-트레오닌,,B1000267000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,영양강화제,"기타, 별도 확인 필요",
155,DL-TRYPTOPHAN,DL-트립토판,,B1000269000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,영양강화제,"기타, 별도 확인 필요",
156,DL-PHENYLALANINE,DL-페닐알라닌,,B1000282000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,영양강화제,"기타, 별도 확인 필요",
157,,Damask rose열매,,A1003637230000,식품원료,원료이기에 사용기준 없음,,사용가능,
158,DAMIANA EXTRACT,Damiana잎추출물,,A1000059384500,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
159,DAVANA OIL,Davana oil,,A1002861000000,식품원료,원료이기에 사용기준 없음,,사용불가,
160,,Debaryomyces hansenii,,A5000129000000,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
161,DEEP-WATER ROSE SHRIMP,Deep-water rose shrimp,,A3012011000000,식품원료,원료이기에 사용기준 없음,,사용가능,
162,Deobetide,Deobetide(외화획득용 등),,AZ000057000000,식품원료,원료이기에 사용기준 없음,,사용불가,
163,Disodium Citrate,Disodium Citrate(외화획득용 등),,BZ000112000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
164,,Downy wood-mint잎,,A1003661380000,식품원료,원료이기에 사용기준 없음,,사용가능,
165,,Dwarf bilberry열매,,A1003668230000,식품원료,원료이기에 사용기준 없음,,사용가능,
166,EPA,EPA(고시형),,C2000046000000,건강기능식품,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
167,,EPA오일(고시형),,C2000046000020,건강기능식품,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
168,ECHINACEA PURPUREA,Echinacea,,A1000068010000,식품원료,원료이기에 사용기준 없음,,사용불가,
169,에머밀,Emmer씨앗,,A1003708320000,식품원료,원료이기에 사용기준 없음,,사용가능,
170,에머밀,Emmer플레이크분말,,A1054143322351,식품원료,원료이기에 사용기준 없음,,사용가능,
171,,Encrasicholina devisi,,A3012009000000,식품원료,원료이기에 사용기준 없음,,사용가능,
172,ENGRAULIS ANCHOITA,Engraulis anchoita,,A3011984000000,식품원료,원료이기에 사용기준 없음,,사용가능,
173,Enterococcus faecalis,Enterococcus faecalis,,A5000039000000,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
174,,Enterococcus faecalis분말,,A5000039000001,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
175,ENTEROCOCCUS FAECIUM,Enterococcus faecium,,A5000040000000,식품원료,원료이기에 사용기준 없음,,사용불가,
176,,Enterococcus faecium(고시형),,C2000209000000,건강기능식품,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
177,EUROPEAN ANCHOVY,European anchovy,,A3001046000000,식품원료,원료이기에 사용기준 없음,,사용가능,
178,EUROPEAN SPRAT,European sprat,,A3011934000000,식품원료,원료이기에 사용기준 없음,,사용가능,
179,,FERROUS BISGLYCINATE(외화획득용 등),,BZ000123000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
180,FIELD ERYNGO,FIELD ERYNGO,,A1002732000000,식품원료,원료이기에 사용기준 없음,,사용가능,
181,,False roselle추출물,,A1000071004500,식품원료,원료이기에 사용기준 없음,,사용가능,
182,Farrer’s scallop,Farrer’s scallop,,A3012027000000,식품원료,원료이기에 사용기준 없음,,사용가능,
183,,Filbert씨앗,,A1000072320000,식품원료,원료이기에 사용기준 없음,,사용가능,
184,FINGER MILLET,Finger millet,,A1054166000000,식품원료,원료이기에 사용기준 없음,,사용가능,
185,FINGER MILLET FLOUR,Finger millet분말,,A1003166000001,식품원료,원료이기에 사용기준 없음,,사용가능,
186,Freshwater bream,Freshwater bream,,A3012014000000,식품원료,원료이기에 사용기준 없음,,사용가능,
187,FRUCTILACTOBACILLUS SANFRANCISCENSIS,Fructilactobacillus sanfranciscensis,,A5000140000000,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
188,Fructose calcium borate,Fructose calcium borate(외화획득용 등),,BZ000110000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
189,"Fructose-1,6-diphosphate trisodium salt","Fructose-1,6-diphosphate trisodium salt(외화획득용 등)",,BZ000114000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
190,FURFURILACTOBACILLUS ROSSIAE,Furfurilactobacillus rossiae,,A5000154000000,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
191,Fusarium venenatum ATCC PTA-2684,Fusarium venenatum A 3/5,,A5001546000000,식품원료,원료이기에 사용기준 없음,,사용가능,
192,,G4 생성효소,,B2000105000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
193,GAMMA AMINO BUTYRIC ACID,"GABA, Gamma amino butyric acid(외화획득용)",,BZ000001000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
194,,GABA분말,,A6000143000001,식품원료,원료이기에 사용기준 없음,,사용불가,
195,,Galanga Galangal뿌리줄기,,A1000074620000,식품원료,원료이기에 사용기준 없음,,사용가능,
196,,Galanga뿌리줄기,,A1000073620000,식품원료,원료이기에 사용기준 없음,,사용가능,
